Locustag	Gene	FeatureType	Description
ECB_00970	yccV	CDS	DNA-binding protein, hemimethylated
ECB_00971	yccW	CDS	predicted methyltransferase
ECB_00972	yccX	CDS	predicted acylphosphatase
ECB_00973	yccK	CDS	predicted sulfite reductase subunit
ECB_00974	yccA	CDS	inner membrane protein
ECB_00975	hyaA	CDS	hydrogenase 1, small subunit
ECB_00976	hyaB	CDS	hydrogenase 1, large subunit
ECB_00977	hyaC	CDS	hydrogenase 1, b-type cytochrome subunit
ECB_00978	hyaD	CDS	HyaD
ECB_00979	hyaE	CDS	HyaE
ECB_00980	hyaF	CDS	HyaF
ECB_00981	appC	CDS	cytochrome bd-II oxidase, subunit I
ECB_00982	appB	CDS	cytochrome bd-II oxidase, subunit II
ECB_00983	appA	CDS	phosphoanhydride phosphorylase
ECB_00984	yccC	CDS	cryptic autophosphorylating protein tyrosine kinase Etk
ECB_00985	yccY	CDS	phosphotyrosine-protein phosphatase
ECB_00986	yccZ	CDS	predicted exopolysaccharide export protein
ECB_00987	ymcA	CDS	hypothetical protein
ECB_00988	ymcB	CDS	hypothetical protein
ECB_00989	ymcC	CDS	predicted outer membrane lipoprotein
ECB_00990	ymcD	CDS	hypothetical protein
ECB_00991	cspH	CDS	stress protein, member of the CspA-family
ECB_00992	cspG	CDS	DNA-binding transcriptional regulator
ECB_00993	sfa	CDS	cold shock gene
ECB_00994	gnsA	CDS	predicted regulator of phosphatidylethanolamine synthesis
ECB_00995	yccM	CDS	predicted 4Fe-4S membrane protein
ECB_00996	torS	CDS	hybrid sensory histidine kinase in two-component regulatory system with TorR
ECB_00997	torT	CDS	periplasmic sensory protein associated with the TorRS two-component regulatory system
ECB_00998	torR	CDS	DNA-binding response regulator in two-component regulatory system with TorS
ECB_00999	torC	CDS	trimethylamine N-oxide (TMAO) reductase I, cytochrome c-type subunit
ECB_01000	torA	CDS	trimethylamine N-oxide (TMAO) reductase I, catalytic subunit
ECB_01001	torD	CDS	chaperone protein TorD
ECB_01002	yccD	CDS	modulator of CbpA co-chaperone
ECB_01003	cbpA	CDS	curved DNA-binding protein, DnaJ-like protein
ECB_01004	yccE	CDS	hypothetical protein
ECB_01005	agp	CDS	glucose-1-phosphatase/inositol phosphatase
ECB_01006	yccJ	CDS	hypothetical protein
ECB_01007	wrbA	CDS	TrpR binding protein WrbA
ECB_01008	ymdF	CDS	hypothetical protein
ECB_01009	ycdG	CDS	predicted transporter
ECB_01010	ycdH	CDS	predicted oxidoreductase, flavin:NADH component
ECB_01011	ycdI	CDS	hypothetical protein
ECB_01012	ycdJ	CDS	predicted hydrolase
ECB_01013	ycdK	CDS	hypothetical protein
ECB_01014	ycdL	CDS	predicted enzyme
ECB_01015	ycdM	CDS	predicted monooxygenase
ECB_01016	ycdC	CDS	predicted DNA-binding transcriptional regulator
ECB_01017	putA	CDS	fused DNA-binding transcriptional regulator/proline dehydrogenase/pyrroline-5-carboxylate dehydrogenase
ECB_01018	putP	CDS	proline:sodium symporter
ECB_01019	ycdN	CDS	putative membrane protein
ECB_01020	ycdO	CDS	hypothetical protein
ECB_01021	ycdB	CDS	hypothetical protein
ECB_01022	phoH	CDS	conserved hypothetical protein with nucleoside triphosphate hydrolase domain
ECB_01023	ycdP	CDS	predicted inner membrane protein
ECB_01024	ycdQ	CDS	predicted glycosyl transferase
ECB_01025	ycdR	CDS	predicted enzyme associated with biofilm formation
ECB_01026	ycdS	CDS	predicted outer membrane protein
ECB_01027	ycdT	CDS	predicted diguanylate cyclase
ECB_01028	insF-1	CDS	putative transposase for IS3
ECB_01029	insE-1	CDS	putative transposase-related protein
ECB_01030	ycdW	CDS	2-ketoacid reductase
ECB_01031	ycdX	CDS	hypothetical protein
ECB_01032	ycdY	CDS	hypothetical protein
ECB_01033	ycdZ	CDS	predicted inner membrane protein
ECB_01034	csgG	CDS	outer membrane lipoprotein
ECB_01035	csgF	CDS	predicted transport protein
ECB_01036	csgE	CDS	predicted transport protein
ECB_01037	csgD	CDS	DNA-binding transcriptional activator in two-component regulatory system
ECB_01038	csgB	CDS	curlin nucleator protein, minor subunit in curli complex
ECB_01039	csgA	CDS	cryptic curlin major subunit
ECB_01040	csgC	CDS	predicted curli production protein
ECB_01041	ymdA	CDS	hypothetical protein
ECB_01042	ymdB	CDS	hypothetical protein
ECB_01043	ymdC	CDS	predicted hydrolase
ECB_01044	mdoC	CDS	glucans biosynthesis protein
ECB_01045	mdoG	CDS	glucan biosynthesis protein, periplasmic
ECB_01046	mdoH	CDS	glucosyltransferase MdoH
ECB_01047	yceK	CDS	predicted lipoprotein
ECB_01048	msyB	CDS	hypothetical protein
ECB_01049	yceE	CDS	predicted drug efflux system
ECB_01050	htrB	CDS	lipid A biosynthesis lauroyl acyltransferase
ECB_01051	yceA	CDS	hypothetical protein
ECB_01052	yceI	CDS	hypothetical protein
ECB_01053	yceJ	CDS	predicted cytochrome b561
ECB_01054	yceO	CDS	hypothetical protein
ECB_01055	solA	CDS	N-methyltryptophan oxidase, FAD-binding
ECB_01056	yceP	CDS	hypothetical protein
ECB_01057	dinI	CDS	DNA damage-inducible protein I
ECB_01058	pyrC	CDS	dihydroorotase
ECB_01059	yceB	CDS	predicted lipoprotein
ECB_01060	grxB	CDS	glutaredoxin 2 (Grx2)
ECB_01061	yceL	CDS	predicted drug efflux system
ECB_01062	rimJ	CDS	ribosomal-protein-S5-alanine N-acetyltransferase
ECB_01063	yceH	CDS	hypothetical protein
ECB_01064	mviM	CDS	predicted oxidoreductase with NAD(P)-binding Rossmann-fold domain
ECB_01065	mviN	CDS	predicted inner membrane protein
ECB_01066	flgN	CDS	export chaperone for FlgK and FlgL
ECB_01067	flgM	CDS	anti-sigma factor for FliA (sigma 28)
ECB_01068	flgA	CDS	flagellar basal body P-ring biosynthesis protein A
ECB_01069	flgB	CDS	flagellar basal-body rod protein B
ECB_01070	flgC	CDS	flagellar basal-body rod protein C
ECB_01071	flgD	CDS	flagellar basal body rod modification protein D
ECB_01072	flgE	CDS	flagellar hook protein E
ECB_01073	flgF	CDS	flagellar component of cell-proximal portion of basal-body rod
ECB_01074	flgG	CDS	flagellar component of cell-distal portion of basal-body rod
ECB_01075	flgH	CDS	flagellar L-ring protein precursor H
ECB_01076	flgI	CDS	flagellar P-ring protein precursor I
ECB_01077	flgJ	CDS	flagellar biosynthesis protein FlgJ
ECB_01078	flgK	CDS	flagellar hook-associated protein K
ECB_01079	flgL	CDS	flagellar hook-associated protein L
ECB_01080	rne	CDS	fused ribonucleaseE: endoribonuclease/RNA-binding protein/RNA degradosome binding protein
ECB_01081		CDS	hypothetical protein
ECB_01082	rluC	CDS	23S rRNA pseudouridylate synthase
ECB_01083	yceF	CDS	Maf-like protein
ECB_01084	yceD	CDS	hypothetical protein
ECB_01085	rpmF	CDS	50S ribosomal protein L32
ECB_01086	plsX	CDS	fatty acid/phospholipid synthesis protein
ECB_01087	fabH	CDS	3-oxoacyl-(acyl carrier protein) synthase
ECB_01088	fabD	CDS	acyl carrier protein S-malonyltransferase
ECB_01089	fabG	CDS	3-oxoacyl-[acyl-carrier-protein] reductase
ECB_01090	acpP	CDS	acyl carrier protein
ECB_01091	fabF	CDS	3-oxoacyl-(acyl carrier protein) synthase
ECB_01092	pabC	CDS	4-amino-4-deoxychorismate lyase
ECB_01093	yceG	CDS	predicted aminodeoxychorismate lyase
ECB_01094	tmk	CDS	thymidylate kinase
ECB_01095	holB	CDS	DNA polymerase III subunit delta'
ECB_01096	ycfH	CDS	predicted metallodependent hydrolase
ECB_01097	ptsG	CDS	fused glucose-specific PTS enzymes: IIB component/IIC component
ECB_01098	fhuE	CDS	ferric-rhodotorulic acid outer membrane transporter
ECB_01099	ycfF	CDS	purine nucleoside phosphoramidase
ECB_01100	ycfL	CDS	hypothetical protein
ECB_01101	ycfM	CDS	predicted outer membrane lipoprotein
ECB_01102	ycfN	CDS	thiamin kinase
ECB_01103	nagZ	CDS	beta-hexosaminidase
ECB_01104	ycfP	CDS	hypothetical protein
ECB_01105	ndh	CDS	respiratory NADH dehydrogenase 2/cupric reductase
ECB_01106	ycfJ	CDS	hypothetical protein
ECB_01107	ycfQ	CDS	predicted DNA-binding transcriptional regulator
ECB_01108	ycfR	CDS	hypothetical protein
ECB_01109	ycfS	CDS	hypothetical protein
ECB_01110	mfd	CDS	transcription-repair coupling factor
ECB_01111	ycfT	CDS	predicted inner membrane protein
ECB_01112	ycfU	CDS	outer membrane-specific lipoprotein transporter subunit
ECB_01113	ycfV	CDS	outer membrane-specific lipoprotein transporter subunit
ECB_01114	ycfW	CDS	outer membrane-specific lipoprotein transporter subunit
ECB_01116	insA-10	CDS	IS1 protein InsA
ECB_01117	insB-10	CDS	IS1 protein InsB
ECB_01118	cobB	CDS	NAD-dependent deacetylase
ECB_01119	ycfZ	CDS	predicted inner membrane protein
ECB_01120	ymfA	CDS	predicted inner membrane protein
ECB_01121	potD	CDS	spermidine/putrescine ABC transporter periplasmic substrate-binding protein
ECB_01122	potC	CDS	spermidine/putrescine ABC transporter membrane protein
ECB_01123	potB	CDS	spermidine/putrescine ABC transporter membrane protein
ECB_01124	potA	CDS	putrescine/spermidine ABC transporter ATPase protein
ECB_01125	pepT	CDS	peptidase T
ECB_01126	ycfD	CDS	hypothetical protein
ECB_01127	phoQ	CDS	sensory histidine kinase in two-compoent regulatory system with PhoP
ECB_01128	phoP	CDS	DNA-binding response regulator in two-component regulatory system with PhoQ
ECB_01129	purB	CDS	adenylosuccinate lyase
ECB_01130	ycfC	CDS	hypothetical protein
ECB_01131	trmU	CDS	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase
ECB_01132	ymfB	CDS	bifunctional thiamin pyrimidine pyrophosphate hydrolase/ thiamin pyrophosphate hydrolase
ECB_01133	ymfC	CDS	23S rRNA pseudouridine synthase
ECB_01134	icdA	CDS	isocitrate dehydrogenase
ECB_01135	ycgW	CDS	hypothetical protein
ECB_01136	ycgX	CDS	hypothetical protein
ECB_01137	ycgE	CDS	predicted DNA-binding transcriptional regulator
ECB_01138	ycgF	CDS	predicted FAD-binding phosphodiesterase
ECB_01139	ycgZ	CDS	hypothetical protein
ECB_01140	ymgA	CDS	hypothetical protein
ECB_01141	ymgB	CDS	hypothetical protein
ECB_01142	ymgC	CDS	hypothetical protein
ECB_01143	ycgG	CDS	conserved inner membrane protein
ECB_01144	ymgF	CDS	hypothetical protein
ECB_01146	ymgD	CDS	hypothetical protein
ECB_01147		CDS	hypothetical protein
ECB_01148	ycgI	CDS	hypothetical protein
ECB_01149	minE	CDS	cell division topological specificity factor MinE
ECB_01150	minD	CDS	membrane ATPase of the MinC-MinD-MinE system
ECB_01151	minC	CDS	septum formation inhibitor
ECB_01152	ycgJ	CDS	hypothetical protein
ECB_01153	ycgK	CDS	hypothetical protein
ECB_01154	ycgL	CDS	hypothetical protein
ECB_01155	ycgM	CDS	predicted isomerase/hydrolase
ECB_01156	ycgN	CDS	hypothetical protein
ECB_01158	umuD	CDS	DNA polymerase V, subunit D
ECB_01159	umuC	CDS	DNA polymerase V subunit UmuC
ECB_01160	dsbB	CDS	disulfide bond formation protein B
ECB_01161	nhaB	CDS	sodium/proton antiporter
ECB_01162	fadR	CDS	fatty acid metabolism regulator
ECB_01163	ycgB	CDS	hypothetical protein
ECB_01164	dadA	CDS	D-amino acid dehydrogenase small subunit
ECB_01165	dadX	CDS	alanine racemase
ECB_01166	ycgO	CDS	potassium/proton antiporter
ECB_01167	ldcA	CDS	L,D-carboxypeptidase A
ECB_01168	mltE	CDS	lytic murein endotransglycosylase E
ECB_01169	ycgR	CDS	YcgR
ECB_01170	ymgE	CDS	predicted inner membrane protein
ECB_01171	ycgY	CDS	hypothetical protein
ECB_01172	treA	CDS	periplasmic trehalase
ECB_01173	dhaM	CDS	fused predicted dihydroxyacetone-specific PTS enzymes: HPr component/EI component
ECB_01174	dhaL	CDS	dihydroxyacetone kinase, C-terminal domain protein
ECB_01175	dhaK	CDS	dihydroxyacetone kinase, N-terminal domain protein
ECB_01176	dhaR	CDS	predicted DNA-binding transcriptional regulator, dihydroxyacetone
ECB_01177	ycgV	CDS	predicted adhesin
ECB_01178	ychF	CDS	translation-associated GTPase
ECB_01179	pth	CDS	peptidyl-tRNA hydrolase
ECB_01180	ychH	CDS	predicted inner membrane protein
ECB_01181	ychM	CDS	predicted transporter
ECB_01182	prsA	CDS	ribose-phosphate pyrophosphokinase
ECB_01183	ispE	CDS	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
ECB_01184	lolB	CDS	outer membrane lipoprotein LolB precursor
ECB_01185	hemA	CDS	glutamyl-tRNA reductase
ECB_01186	prfA	CDS	peptide chain release factor 1
ECB_01187	hemK	CDS	N5-glutamine S-adenosyl-L-methionine-dependent methyltransferase
ECB_01188	ychQ	CDS	predicted transcriptional regulator
ECB_01189	ychA	CDS	predicted transcriptional regulator
ECB_01190	kdsA	CDS	2-dehydro-3-deoxyphosphooctonate aldolase
ECB_01191	ldrA	CDS	toxic polypeptide, small
ECB_01192	ldrB	CDS	toxic polypeptide, small
ECB_01193	ldrC	CDS	toxic polypeptide, small
ECB_01194	chaA	CDS	calcium/sodium:proton antiporter
ECB_01195	chaB	CDS	cation transport regulator
ECB_01196	chaC	CDS	regulatory protein for cation transport
ECB_01197	ychN	CDS	hypothetical protein
ECB_01198	ychP	CDS	predicted invasin
ECB_01199	narL	CDS	DNA-binding response regulator in two-component regulatory system with NarX (or NarQ)
ECB_01200	narX	CDS	sensory histidine kinase in two-component regulatory system with NarL
ECB_01201	narK	CDS	nitrate/nitrite transporter
ECB_01202	narG	CDS	nitrate reductase 1, alpha subunit
ECB_01203	narH	CDS	nitrate reductase 1, beta (Fe-S) subunit
ECB_01204	narJ	CDS	molybdenum-cofactor-assembly chaperone subunit (delta subunit) of nitrate reductase 1
ECB_01205	narI	CDS	nitrate reductase 1, gamma (cytochrome b(NR)) subunit
ECB_01208	purU	CDS	formyltetrahydrofolate deformylase
ECB_01209	ychJ	CDS	hypothetical protein
ECB_01210	ychK	CDS	hypothetical protein
ECB_01211	hnr	CDS	response regulator of RpoS
ECB_01212	galU	CDS	glucose-1-phosphate uridylyltransferase
ECB_01213	hns	CDS	global DNA-binding transcriptional dual regulator H-NS
ECB_01214	tdk	CDS	thymidine kinase
ECB_01215	adhE	CDS	fused acetaldehyde-CoA dehydrogenase/iron-dependent alcohol dehydrogenase/pyruvate-formate lyase deactivase
ECB_01216	ychE	CDS	predicted inner membrane protein
ECB_01217	oppA	CDS	oligopeptide transporter subunit
ECB_01218	oppB	CDS	oligopeptide permease ABC transporter membrane protein
ECB_01219	oppC	CDS	oligopeptide transporter subunit
ECB_01220	oppD	CDS	oligopeptide transporter ATP-binding component
ECB_01221	oppF	CDS	oligopeptide transporter subunit
ECB_01222	yciU	CDS	dsDNA-mimic protein
ECB_01223	cls	CDS	cardiolipin synthetase
ECB_01224	kch	CDS	voltage-gated potassium channel
ECB_01225	yciI	CDS	predicted enzyme
ECB_01226	tonB	CDS	membrane spanning protein in TonB-ExbB-ExbD complex
ECB_01227	yciA	CDS	predicted hydrolase
ECB_01228	ispZ	CDS	intracellular septation protein A
ECB_01229	yciC	CDS	hypothetical protein
ECB_01230	yciD	CDS	outer membrane protein W
ECB_01231	yciE	CDS	hypothetical protein
ECB_01232	yciF	CDS	hypothetical protein
ECB_01233	yciG	CDS	hypothetical protein
ECB_01234	trpA	CDS	tryptophan synthase subunit alpha
ECB_01235	trpB	CDS	tryptophan synthase subunit beta
ECB_01236	trpC	CDS	bifunctional indole-3-glycerol phosphate synthase/phosphoribosylanthranilate isomerase
ECB_01237	trpD	CDS	bifunctional indole-3-glycerol-phosphate synthase/anthranilate phosphoribosyltransferase
ECB_01238	trpE	CDS	anthranilate synthase component I
ECB_01239	trpL	CDS	trp operon leader peptide
ECB_01240	yciV	CDS	hypothetical protein
ECB_01241	yciO	CDS	hypothetical protein
ECB_01243	insA-11	CDS	IS1 protein InsA
ECB_01244	insB-11	CDS	IS1 protein InsA
ECB_01245	yciL	CDS	23S rRNA pseudouridylate synthase
ECB_01246	btuR	CDS	cob(I)yrinic acid a,c-diamide adenosyltransferase
ECB_01247	yciK	CDS	short chain dehydrogenase
ECB_01248	sohB	CDS	predicted inner membrane peptidase
ECB_01249	yciN	CDS	hypothetical protein
ECB_01250	topA	CDS	DNA topoisomerase I
ECB_01251	cysB	CDS	DNA-binding transcriptional dual regulator, O-acetyl-L-serine-binding
ECB_01253	acnA	CDS	aconitate hydratase
ECB_01254	ribA	CDS	GTP cyclohydrolase II protein
ECB_01255	pgpB	CDS	phosphatidylglycerophosphatase B
ECB_01256	yciS	CDS	conserved inner membrane protein
ECB_01257	yciM	CDS	hypothetical protein
ECB_01258	pyrF	CDS	orotidine 5'-phosphate decarboxylase
ECB_01259	yciH	CDS	translation intiation factor Sui1
ECB_01260	osmB	CDS	lipoprotein
ECB_01261	yciT	CDS	predicted DNA-binding transcriptional regulator
ECB_01262	yciR	CDS	modulator of Rnase II stability
ECB_01263	rnb	CDS	exoribonuclease II
ECB_01264	yciW	CDS	predicted oxidoreductase
ECB_01265	fabI	CDS	enoyl-(acyl carrier protein) reductase
ECB_01266	ycjD	CDS	hypothetical protein
ECB_01267	sapF	CDS	predicted antimicrobial peptide transporter subunit
ECB_01268	sapD	CDS	predicted antimicrobial peptide transporter subunit
ECB_01269	sapC	CDS	predicted antimicrobial peptide transporter subunit
ECB_01270	sapB	CDS	predicted antimicrobial peptide transporter subunit
ECB_01271	sapA	CDS	predicted antimicrobial peptide transporter subunit
ECB_01272	ymjA	CDS	hypothetical protein
ECB_01273	ycjJ	CDS	putrescine importer
ECB_01274	ycjK	CDS	gamma-Glu-putrescine synthase
ECB_01275	ycjL	CDS	gamma-Glu-GABA hydrolase
ECB_01276	ycjC	CDS	DNA-binding transcriptional repressor
ECB_01277	aldH	CDS	gamma-Glu-gamma-aminobutyraldehyde dehydrogenase, NAD(P)H-dependent
ECB_01278	ordL	CDS	gamma-Glu-putrescine oxidase, FAD/NAD(P)-binding
ECB_01279	goaG	CDS	GABA aminotransferase, PLP-dependent
ECB_01280	pspF	CDS	DNA-binding transcriptional activator
ECB_01281	pspA	CDS	regulatory protein for phage-shock-protein operon
ECB_01282	pspB	CDS	phage shock protein B
ECB_01283	pspC	CDS	DNA-binding transcriptional activator
ECB_01284	pspD	CDS	peripheral inner membrane phage-shock protein
ECB_01285	pspE	CDS	thiosulfate:cyanide sulfurtransferase (rhodanese)
ECB_01286	ycjM	CDS	predicted glucosyltransferase
ECB_01287	ycjN	CDS	predicted sugar transporter subunit: periplasmic-binding component of ABC superfamily
ECB_01288	ycjO	CDS	predicted sugar transporter subunit: membrane component of ABC superfamily
ECB_01289	ycjP	CDS	predicted sugar transporter subunit: membrane component of ABC superfamily
ECB_01290	ycjQ	CDS	predicted oxidoreductase, Zn-dependent and NAD(P)-binding
ECB_01291	ycjR	CDS	predicted enzyme
ECB_01292	ycjS	CDS	predicted oxidoreductase, NADH-binding
ECB_01293	ycjT	CDS	predicted hydrolase
ECB_01294	ycjU	CDS	predicted beta-phosphoglucomutase
ECB_01295	ycjV	CDS	putative sugar transport protein
ECB_01296	ompG	CDS	outer membrane porin
ECB_01297	ycjW	CDS	predicted DNA-binding transcriptional regulator
ECB_01298	ycjX	CDS	conserved hypothetical protein with nucleoside triphosphate hydrolase domain
ECB_01299	ycjF	CDS	hypothetical protein
ECB_01300	tyrR	CDS	DNA-binding transcriptional dual regulator, tyrosine-binding
ECB_01301	tpx	CDS	thiol peroxidase
ECB_01302	ycjG	CDS	L-Ala-D/L-Glu epimerase
ECB_01303	ycjI	CDS	murein peptide amidase A
ECB_01305	ycjY	CDS	predicted hydrolase
ECB_01306	ycjZ	CDS	predicted DNA-binding transcriptional regulator
ECB_01307	mppA	CDS	murein tripeptide (L-ala-gamma-D-glutamyl-meso-DAP) transporter subunit
ECB_01308	ynaI	CDS	conserved inner membrane protein
ECB_01309	ynaJ	CDS	predicted inner membrane protein
ECB_01310	ydaA	CDS	stress-induced protein
ECB_01311	fnr	CDS	DNA-binding transcriptional dual regulator, global regulator of anaerobic growth
ECB_01312	ogt	CDS	O-6-alkylguanine-DNA:cysteine-protein methyltransferase
ECB_01313	abgT	CDS	predicted cryptic aminobenzoyl-glutamate transporter
ECB_01314	abgB	CDS	predicted peptidase, aminobenzoyl-glutamate utilization protein
ECB_01315	abgA	CDS	predicted peptidase, aminobenzoyl-glutamate utilization protein
ECB_01316	abgR	CDS	predicted DNA-binding transcriptional regulator
ECB_01317	ydaL	CDS	hypothetical protein
ECB_01318	ydaM	CDS	predicted diguanylate cyclase, GGDEF domain signalling protein
ECB_01319	ydaN	CDS	zinc transporter
ECB_01320	dbpA	CDS	ATP-dependent RNA helicase, specific for 23S rRNA
ECB_01321	ydaO	CDS	predicted C32 tRNA thiolase
ECB_01322	intR	CDS	integrase
ECB_01323	xisR	CDS	conserved hypothetical protein
ECB_01324	ydaC	CDS	predicted protein
ECB_01325	lar	CDS	restriction alleviation protein
ECB_01326	recT	CDS	recombination and repair protein
ECB_01327	recE	CDS	exonuclease VIII, 5' -> 3' specific dsDNA exonuclease
ECB_01328	racC	CDS	predicted protein
ECB_01329	ydaE	CDS	conserved hypothetical protein
ECB_01330	kil	CDS	inhibitor of ftsZ, killing protein
ECB_01331	sieB	CDS	phage superinfection exclusion protein
ECB_01332	ydaF	CDS	predicted protein
ECB_01333	ydaG	CDS	predicted protein
ECB_01334		CDS	putative Lysozyme
ECB_01335		CDS	conserved hypothetical protein
ECB_01336		CDS	conserved hypothetical protein
ECB_01337	ydfQ-1	CDS	predicted lysozyme
ECB_01338	rzpR	CDS	predicted defective peptidase
ECB_01339	trkG	CDS	potassium transporter subunit
ECB_01340	ynaK	CDS	conserved hypothetical protein
ECB_01341		CDS	hypothetical protein
ECB_01342		CDS	conserved hypothetical protein
ECB_01343		CDS	conserved hypothetical protein
ECB_01344		CDS	conserved hypothetical protein
ECB_01345	pinR	CDS	predicted site-specific recombinase
ECB_01346	ynaE	CDS	predicted DNA-binding transcriptional regulator
ECB_01347	ynaF	CDS	stress-induced protein, ATP-binding protein
ECB_01348	ompN	CDS	outer membrane pore protein N, non-specific
ECB_01349	ydbK	CDS	fused predicted pyruvate-flavodoxin oxidoreductase: conserved hypothetical protein/conserved hypothetical protein/FeS binding protein
ECB_01350	ydbJ	CDS	hypothetical protein
ECB_01351	hslJ	CDS	heat-inducible protein
ECB_01352	ldhA	CDS	D-lactate dehydrogenase
ECB_01353	ydbH	CDS	hypothetical protein
ECB_01354	ynbE	CDS	predicted lipoprotein
ECB_01355	ydbL	CDS	hypothetical protein
ECB_01356	feaR	CDS	DNA-binding transcriptional dual regulator
ECB_01357	feaB	CDS	phenylacetaldehyde dehydrogenase
ECB_01358	tynA	CDS	tyramine oxidase, copper-requiring
ECB_01359	insE-2	CDS	putative transposase-related protein
ECB_01360	insF-2	CDS	IS3 element protein InsF
ECB_01361	ydbC	CDS	predicted oxidoreductase, NAD(P)-binding
ECB_01362	ydbD	CDS	hypothetical protein
ECB_01363	ynbA	CDS	predicted inner membrane protein
ECB_01364	ynbB	CDS	predicted CDP-diglyceride synthase
ECB_01365	ynbC	CDS	predicted hydrolase
ECB_01366	ynbD	CDS	predicted phosphatase, inner membrane protein
ECB_01367	acpD	CDS	acyl carrier protein phosphodiesterase
ECB_01368	hrpA	CDS	ATP-dependent helicase
ECB_01369	ydcF	CDS	hypothetical protein
ECB_01370	aldA	CDS	aldehyde dehydrogenase A, NAD-linked
ECB_01371	gapC	CDS	glyceraldehyde-3-phosphate dehydrogenase
ECB_01372	insA-12	CDS	IS1 protein InsA
ECB_01373	insB-12	CDS	IS1 protein InsB
ECB_01374	cybB	CDS	cytochrome b561
ECB_01375	ydcA	CDS	hypothetical protein
ECB_01376	hokB	CDS	toxic polypeptide, small
ECB_01377	mokB	CDS	regulatory peptide
ECB_01378	trg	CDS	methyl-accepting chemotaxis protein III, ribose and galactose sensor receptor
ECB_01379	ydcI	CDS	predicted DNA-binding transcriptional regulator
ECB_01380	ydcJ	CDS	hypothetical protein
ECB_01381	ydcG	CDS	glucan biosynthesis protein, periplasmic
ECB_01382		CDS	hypothetical protein
ECB_01383	ydcH	CDS	hypothetical protein
ECB_01384	rimL	CDS	ribosomal-protein-L7/L12-serine acetyltransferase
ECB_01385	ydcK	CDS	predicted enzyme
ECB_01386	tehA	CDS	potassium-tellurite ethidium and proflavin transporter
ECB_01387	tehB	CDS	predicted S-adenosyl-L-methionine-dependent methyltransferase
ECB_01388	ydcL	CDS	predicted lipoprotein
ECB_01390	ydcM	CDS	predicted transposase
ECB_01391	ydcO	CDS	predicted benzoate transporter
ECB_01392	ydcN	CDS	predicted DNA-binding transcriptional regulator
ECB_01393	ydcP	CDS	predicted peptidase
ECB_01394	yncJ	CDS	hypothetical protein
ECB_01395	ydcQ	CDS	predicted DNA-binding transcriptional regulator
ECB_01396	ydcR	CDS	fused predicted DNA-binding transcriptional regulator/predicted amino transferase
ECB_01397	ydcS	CDS	predicted spermidine/putrescine transporter subunit
ECB_01398	ydcT	CDS	predicted spermidine/putrescine transporter subunit
ECB_01399	ydcU	CDS	predicted spermidine/putrescine transporter subunit
ECB_01400	ydcV	CDS	predicted spermidine/putrescine transporter subunit
ECB_01401	ydcW	CDS	medium chain aldehyde dehydrogenase
ECB_01402	ydcX	CDS	predicted inner membrane protein
ECB_01403	ydcY	CDS	hypothetical protein
ECB_01404	ydcZ	CDS	predicted inner membrane protein
ECB_01405	yncA	CDS	predicted acyltransferase with acyl-CoA N-acyltransferase domain
ECB_01406	yncB	CDS	predicted oxidoreductase, Zn-dependent and NAD(P)-binding
ECB_01407	yncC	CDS	predicted DNA-binding transcriptional regulator
ECB_01408	yncD	CDS	predicted iron outer membrane transporter
ECB_01409	yncE	CDS	hypothetical protein
ECB_01410	ansP	CDS	L-asparagine transporter
ECB_01411	yncG	CDS	predicted enzyme
ECB_01412	yncH	CDS	hypothetical protein
ECB_01413		CDS	conserved hypothetical protein
ECB_01414	rhsE	CDS	rhsE element core protein RshE
ECB_01415	ydcD	CDS	hypothetical protein
ECB_01416		CDS	hypothetical protein
ECB_01417		CDS	hypothetical protein
ECB_01418	ydcC	CDS	hypothetical protein
ECB_01419	ydcE	CDS	4-oxalocrotonate tautomerase
ECB_01420	yddH	CDS	hypothetical protein
ECB_01421	nhoA	CDS	N-hydroxyarylamine O-acetyltransferase
ECB_01423	narV	CDS	nitrate reductase 2 (NRZ), gamma subunit
ECB_01424	narW	CDS	nitrate reductase 2 (NRZ), delta subunit (assembly subunit)
ECB_01425	narY	CDS	nitrate reductase 2 (NRZ), beta subunit
ECB_01426	narZ	CDS	nitrate reductase 2 (NRZ), alpha subunit
ECB_01427	narU	CDS	nitrate/nitrite transporter
ECB_01428	yddJ	CDS	hypothetical protein
ECB_01429	yddK	CDS	hypothetical protein
ECB_01430	yddL	CDS	predicted lipoprotein
ECB_01431	yddG	CDS	predicted methyl viologen efflux pump
ECB_01432	fdnG	CDS	formate dehydrogenase-N, alpha subunit, nitrate-inducible
ECB_01433	fdnH	CDS	formate dehydrogenase-N, Fe-S (beta) subunit, nitrate-inducible
ECB_01434	fdnI	CDS	formate dehydrogenase-N, cytochrome B556 (gamma) subunit, nitrate-inducible
ECB_01435	yddM	CDS	predicted DNA-binding transcriptional regulator
ECB_01436	adhP	CDS	alcohol dehydrogenase
ECB_01437	sfcA	CDS	malate dehydrogenase, (decarboxylating, NAD-requiring) (malic enzyme)
ECB_01438	rpsV	CDS	30S ribosomal subunit protein S22
ECB_01439	bdm	CDS	biofilm-dependent modulation protein
ECB_01440	osmC	CDS	osmotically inducible, stress-inducible membrane protein
